name,minutesPlayed,season,school,gamesPlayed,gamesStarted,mpg,fgmpg,fgapg,twopmpg,twopapg,threepmpg,threepapg,ftmpg,ftapg,orebpg,drebpg,totalrebpg,astpg,spg,bpg,topg,foulspg,ppg,fgPercent,twoPercent,threePercent,ftPercent,tsPercent,efgPercent,position,grade,ws,ortg,drating,ows,dws,wsp40,obpm,dbpm,bpm,per,orebrate,drebrate,totalrebrate,astrate,stlrate,blkrate,tovrate,usgrate
Aday Mara,520,2025-26,Michigan,23,22,22.6,4.6,6.9,4.5,6.7,0.1,0.3,2,4.2,2,5,6.9,2.2,0.4,2.7,2,2.3,11.3,0.667,0.68,0.333,0.49,0.638,0.673,C,JR,2.9,119,88,1.3,1.6,0.225,4.8,8.6,13.4,25.1,11,21,16.7,16.7,1,13.1,18,22.5
AJ Dybantsa,787,2025-26,Brigham Young,24,24,32.8,8.4,15.3,7.1,11.8,1.3,3.6,6.4,8.5,1.4,4.9,6.3,3.7,1.1,0.4,2.7,1.3,24.5,0.549,0.603,0.372,0.754,0.634,0.592,F,FR,4.8,128,106,3.6,1.2,0.246,10.2,2.7,12.9,30,4.8,15.9,10.5,22.2,1.9,1.3,12.3,32.1
Alex Condon,669,2025-26,Florida,22,22,30.4,4.6,9.2,4.4,7.2,0.3,2,3.8,6,2.2,5.8,8,3.7,0.7,1.5,2.2,2.7,13.4,0.505,0.608,0.136,0.641,0.556,0.52,F,JR,3.1,119,98,1.5,1.6,0.183,4.3,5.7,10,20.2,7.6,19.8,13.7,19.9,1.3,4.8,15.4,21
Alex Karaban,806,2025-26,Connecticut,24,24,33.6,4.9,10.2,3,5.8,1.9,4.5,1.9,2.3,1.9,3.6,5.5,2.3,0.9,0.9,0.8,2.3,13.5,0.478,0.522,0.421,0.818,0.598,0.569,F,SR,4.1,132,99,2.3,1.7,0.202,5.6,3.7,9.4,19,7,12.1,9.7,12.1,1.6,3.1,6.9,18.4
Alvaro Folgueiras,466,2025-26,Iowa,23,1,20.3,3,5.9,1.9,2.8,1.1,3.1,1.6,2.3,0.8,3,3.9,2,0.8,0.3,1.1,2,8.7,0.507,0.662,0.366,0.692,0.622,0.603,F,JR,2.4,125,99,1.3,1,0.203,4.5,3.6,8.1,20.7,5.8,20.1,13.1,18,2.4,2.2,13.5,21.8
Baba Miller,685,2025-26,Cincinnati,22,22,31.1,5.1,9.5,4.9,7.8,0.2,1.7,3.3,5,2.4,8.1,10.5,3,0.8,1.3,2.1,2.1,13.6,0.536,0.628,0.108,0.655,0.574,0.545,F,SR,3.2,114,92,1.3,1.9,0.188,3.7,5.7,9.4,21.6,8.3,29.2,18.6,20.6,1.5,5,15,22
Bennett Stirtz,838,2025-26,Iowa,23,23,36.4,6.7,13.1,4.2,7.1,2.4,6,4.2,5,0.2,2.2,2.3,4.8,1.5,0.1,2,2,19.9,0.507,0.591,0.406,0.842,0.643,0.599,G,SR,4.9,131,104,3.4,1.5,0.235,8,2.7,10.7,23.9,0.7,8,4.4,26.4,2.6,0.5,11.4,26.3
Braden Smith,808,2025-26,Purdue,24,24,33.7,5.6,11.5,3.8,7.1,1.8,4.4,2.1,2.7,0.6,3.3,3.8,8.8,1.8,0.2,3,1.5,15.1,0.487,0.529,0.419,0.769,0.592,0.567,G,SR,4.1,123,103,2.6,1.5,0.203,7.6,3.9,11.5,22.5,2.2,11.3,6.9,43.8,3.2,0.8,19.3,24.1
Brayden Burries,690,2025-26,Arizona,24,24,28.8,5.6,11.1,4,6.7,1.7,4.4,2.8,3.5,0.5,4.2,4.7,2.6,1.6,0.3,1.4,2.2,15.7,0.508,0.59,0.381,0.788,0.615,0.583,G,FR,4,129,94,2.1,1.9,0.233,5.3,5.6,10.8,21.7,2.1,14.2,8.7,15.2,3.1,0.9,10,22.9
Braylon Mullins,444,2025-26,Connecticut,17,13,26.1,4.4,9.2,2.1,3.4,2.2,5.8,0.8,0.9,0.9,2.4,3.3,1.4,1.2,0.5,1.2,2.7,11.7,0.474,0.632,0.384,0.813,0.608,0.596,G,FR,1.9,119,98,0.9,1,0.173,4.4,4.5,8.9,17.2,4.2,10.5,7.5,9.8,2.7,2,11.4,21.2
Caleb Wilson,751,2025-26,North Carolina,24,24,31.3,7.1,12.3,6.8,11.1,0.3,1.1,5.4,7.5,2.8,6.6,9.4,2.7,1.5,1.4,2,1.9,19.8,0.578,0.61,0.259,0.713,0.626,0.59,F,FR,4.9,129,96,3.1,1.8,0.263,8.7,5.2,13.9,30.8,10.5,21.6,16.4,17.4,2.8,4.3,11,28.2
Cameron Boozer,790,2025-26,Duke,24,24,32.9,8.3,14.3,6.8,10.4,1.5,3.9,5,6.5,3.2,6.8,10,4,1.8,0.5,2.4,1.7,23,0.578,0.652,0.383,0.768,0.662,0.631,F,FR,6.7,136,90,4.3,2.4,0.341,13,6.3,19.3,34.7,12.1,22.1,17.4,25.6,3.1,2.1,12,30.1
Cameron Carr,792,2025-26,Baylor,24,24,33,6.7,12.7,4.4,7.2,2.3,5.5,4.1,5.3,0.7,5.3,5.9,2.8,0.8,1.4,2.2,1.8,19.8,0.525,0.61,0.414,0.773,0.648,0.615,G,JR,3.9,129,108,2.8,1.1,0.198,8.2,2.4,10.6,24.3,2.4,17,10.1,15.5,1.4,4.2,12.4,25.3
Cayden Boozer,490,2025-26,Duke,24,4,20.4,2.1,4.4,1.6,2.8,0.5,1.6,1.5,1.9,0.2,1.9,2.1,2.8,0.9,0.1,1.3,1.4,6.2,0.481,0.574,0.316,0.761,0.583,0.538,G,FR,2,118,97,0.8,1.2,0.162,1,4.3,5.4,13.9,1.3,9.9,5.9,22,2.5,0.5,19.5,16.2
Chris Cenac Jr.,592,2025-26,Houston,24,24,24.7,4,7.9,3.1,5.5,0.9,2.5,0.8,1.3,2,5.5,7.5,0.8,0.8,0.5,1,2.5,9.7,0.505,0.573,0.356,0.633,0.568,0.561,C,FR,3,120,90,1.2,1.8,0.204,3.3,3.9,7.2,19.9,9.1,26.3,17.5,6.2,2.1,3,10.1,19.7
Christian Anderson,850,2025-26,Texas Tech,22,22,38.6,6.3,13,2.9,5.2,3.4,7.8,3.3,4.2,0.7,2.6,3.3,7.7,1.5,0.2,3.1,1.9,19.3,0.484,0.557,0.436,0.783,0.643,0.615,G,SO,4.2,129,110,3.1,1.1,0.197,7.8,2.5,10.4,21.9,2,7.6,4.8,35.1,2.2,0.6,17.1,23.1
Dailyn Swain,753,2025-26,Texas,24,24,31.4,6.2,10.8,5.3,8.1,0.8,2.7,4.1,5.2,1.5,5.8,7.3,3.5,1.9,0.3,2.8,2.4,17.3,0.574,0.66,0.313,0.798,0.655,0.612,F,JR,4,127,103,2.7,1.4,0.215,7,4,11.1,26,6,20.5,13.6,21.3,3.4,1,17.2,24.8
Dame Sarr,495,2025-26,Duke,24,16,20.6,1.9,4.9,0.9,1.6,1,3.3,1,1.8,0.7,2.8,3.5,1,1.1,0.3,1.2,1.8,5.8,0.39,0.564,0.304,0.548,0.504,0.492,G,FR,1.5,100,93,0.2,1.4,0.122,-0.4,5.1,4.8,10.7,4,14.8,9.8,7.3,3.1,1.8,17.4,16.9
Darius Acuff Jr.,812,2025-26,Arkansas,24,24,33.8,7.6,15.3,5.4,9.9,2.2,5.4,3.4,4.4,0.4,2.5,2.9,6.3,0.8,0.4,2.1,1.7,20.8,0.496,0.542,0.411,0.781,0.599,0.568,G,FR,3.9,127,113,3.1,0.8,0.192,8.5,0.9,9.4,23.3,1.5,8,4.9,32.5,1.2,1.3,10.7,27.5
Darryn Peterson,361,2025-26,Kansas,13,13,27.8,6.8,14,4.1,7.4,2.8,6.6,4.1,5.2,0.5,3.6,4.2,1.7,1.3,0.5,1.6,1.5,20.5,0.489,0.552,0.419,0.791,0.624,0.588,G,FR,2.1,122,99,1.3,0.8,0.231,10.1,4.6,14.7,28.3,2.4,12.5,8.1,13.8,2.8,2.2,8.9,33.6
Dillon Mitchell,643,2025-26,St. John's (NY),24,12,26.8,3.9,6.9,3.9,6.6,0,0.3,1.5,2.8,2.5,4.7,7.2,2.6,1.3,0.8,1,1.6,9.4,0.566,0.591,0,0.561,0.57,0.566,F,SR,3,126,98,1.5,1.5,0.185,4.7,4.6,9.3,20.6,10.3,19.3,14.8,17.3,2.7,2.8,11.2,16.2
Dwayne Aristode,374,2025-26,Arizona,24,0,15.6,1.6,3.4,0.6,1,1,2.4,0.4,0.7,0.7,1.3,2,0.8,0.5,0.1,0.5,0.7,4.7,0.481,0.583,0.439,0.588,0.634,0.636,G,FR,1.5,131,100,0.7,0.8,0.163,3.8,3.8,7.6,13.2,5.4,8.3,7,7.7,1.8,0.5,11.9,12.5
Emanuel Sharp,705,2025-26,Houston,24,24,29.4,5.3,12.3,2.6,5.2,2.7,7,3,3.5,0.9,2,3,2,1.2,0.1,0.8,2.6,16.3,0.432,0.496,0.385,0.867,0.586,0.543,G,SR,4.2,132,99,2.7,1.5,0.24,7,4.5,11.5,22,3.5,8.1,5.8,12.6,2.5,0.6,5.4,25.7
Eric Reibe,383,2025-26,Connecticut,24,5,16,3.1,4.8,3,4.3,0.2,0.5,0.8,1.5,1.3,2.8,4.2,0.5,0.3,1,0.7,2.2,7.2,0.647,0.683,0.333,0.5,0.646,0.664,C,FR,1.9,125,94,0.9,1,0.202,3,4.4,7.4,21.8,10.3,20.2,15.5,5.5,1.1,7.1,10.7,19.9
Flory Bidunga,754,2025-26,Kansas,24,24,31.4,6.3,9.2,6.3,9.1,0,0,2.3,3.5,2.8,6.1,9,1.7,0.7,2.8,1.5,2.1,14.9,0.686,0.689,0,0.675,0.69,0.686,F,SO,4.6,134,95,2.6,2,0.242,6.9,6.1,13,27.7,11.1,18.7,15.4,10.9,1.2,10,12.2,20.3
Hannes Steinbach,704,2025-26,Washington,21,21,33.5,6.4,11.9,5.8,10.1,0.6,1.8,4,5.3,4.2,7,11.2,1.5,1.1,1,1.9,2.3,17.5,0.542,0.575,0.351,0.759,0.609,0.568,F,FR,3.6,127,104,2.4,1.2,0.204,7.3,2.3,9.5,26.4,14.6,23.8,19.3,9.1,1.9,3.2,11.7,24.1
Henri Veesaar,745,2025-26,North Carolina,24,24,31,6.3,10.3,5.1,7.5,1.3,2.8,2.5,4,2.3,6.7,9,2,0.6,1.2,1.5,2.6,16.4,0.615,0.678,0.448,0.621,0.673,0.676,F,SR,4.2,132,100,2.6,1.6,0.224,6.9,3.8,10.7,25.3,8.7,22,15.8,12.6,1.2,3.8,11.2,21.9
Isaiah Evans,663,2025-26,Duke,24,24,27.6,4.5,10.8,2.1,3.9,2.4,6.9,2.8,3.2,0.3,2.7,3,1.3,0.9,0.9,1.1,1,14.3,0.422,0.548,0.352,0.883,0.584,0.535,G,SO,3.4,123,97,1.8,1.6,0.202,5.9,3.6,9.5,19,1.5,10.6,6.3,8.1,1.9,3.9,8.4,24.3
Ivan Kharchenkov,618,2025-26,Arizona,24,24,25.8,3.7,7.4,3,4.9,0.8,2.5,1.4,1.9,0.9,2.7,3.6,2.2,1.6,0.4,1.2,1.5,9.5,0.503,0.607,0.3,0.717,0.576,0.554,F,FR,2.8,121,95,1.2,1.6,0.18,3.4,5.9,9.3,16.6,4.2,10,7.4,12.9,3.4,1.5,12.3,17
Jaden Bradley,691,2025-26,Arizona,24,24,28.8,4.4,8.8,3.8,7.3,0.7,1.6,4,5,0.6,3,3.5,4.5,1.9,0,1.7,2,13.5,0.5,0.517,0.421,0.8,0.602,0.538,G,SR,4,129,95,2.2,1.8,0.229,4.4,6.2,10.6,20.9,2.4,10,6.6,24.1,3.6,0.1,12.9,20.7
Jayden Quaintance,67,2025-26,Kentucky,4,1,16.8,2,3.5,2,3.5,0,0,1,3.3,2,3,5,0.5,0.5,0.8,1.5,1.3,5,0.571,0,0,0,0,0,C,SO,0.1,93,102,0,0.1,0.062,0.1,1.8,1.8,13.2,13.7,19.5,16.7,5.1,1.7,5.1,22.9,19.3
Johann Grunloh,525,2025-26,Virginia,24,24,21.9,3,5.9,2.3,3.9,0.6,2,1.3,2.4,2.6,3.2,5.8,0.8,0.5,2.1,0.7,2.5,7.8,0.504,0.596,0.319,0.517,0.555,0.557,C,FR,2.5,125,97,1.2,1.2,0.187,2.6,3.7,6.3,20.7,13.8,15.6,14.7,6.5,1.3,10.7,9.2,17.6
John Blackwell,771,2025-26,Wisconsin,23,23,33.5,5.5,13.5,2.9,6.5,2.6,7,5.1,6,1.3,3.7,5,2.4,1.3,0.1,1.7,2.4,18.7,0.408,0.447,0.373,0.848,0.572,0.505,G,JR,3.1,121,110,2.2,1,0.163,5.2,1.7,6.9,19.9,4.3,12.8,8.5,13.7,2.2,0.3,9.2,26.8
Joseph Tugler,543,2025-26,Houston,24,24,22.6,3.4,5.8,3.3,5.7,0,0,1.2,1.8,3.3,2.3,5.6,1.1,1.5,1.5,1.3,3.2,8,0.587,0.584,1,0.674,0.606,0.591,F,JR,3,125,90,1.4,1.6,0.223,3.5,6.8,10.3,23.6,16.3,11.9,14.1,8.9,4.2,8.8,15.9,17.8
Joshua Jefferson,761,2025-26,Iowa State,24,24,31.7,5.7,11.6,4.5,8.7,1.2,2.9,4.4,6.3,1.9,5.8,7.7,5.3,1.5,0.9,2.8,2.3,17,0.493,0.522,0.406,0.7,0.583,0.543,F,SR,4.7,122,91,2.5,2.2,0.248,6.9,5.7,12.6,24.9,7.5,21.2,14.5,28.3,2.8,3.4,15.9,26.8
JT Toppin,760,2025-26,Texas Tech,22,22,34.5,9.4,17.1,8.8,14.8,0.6,2.3,2.3,4.3,4.1,6.4,10.5,2,1.3,1.6,2.6,3,21.8,0.551,0.594,0.275,0.543,0.569,0.569,F,JR,3.5,116,102,2.1,1.4,0.185,5.4,2.8,8.2,26.7,13.4,20.8,17.1,12.6,2.1,4.7,11.9,30.9
Karim Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keaton Wagler,825,2025-26,Illinois,25,25,33,5.4,11.6,2.7,5.5,2.6,6,5.1,6.4,1.8,3.1,4.9,4.3,0.8,0.2,1.7,1.9,18.5,0.464,0.493,0.437,0.8,0.633,0.578,G,FR,5.3,140,108,4.2,1.2,0.258,9.8,3,12.8,25.3,6.7,9.8,8.3,24.1,1.4,0.7,10.5,24.8
Keyshawn Hall,759,2025-26,Auburn,23,23,33,5.7,12.5,3.8,7.9,1.9,4.6,7.4,8.7,2,4.8,6.8,2.7,0.9,0.8,2.4,2.6,20.7,0.455,0.484,0.406,0.854,0.621,0.53,G,SR,3.8,130,114,3.2,0.6,0.2,8.5,1.8,10.3,25.4,6.9,17.2,12,15.8,1.5,2.7,12.8,27.9
Kingston Flemings,747,2025-26,Houston,24,24,31.1,6.3,12.3,5.1,9.3,1.1,3.1,3,3.6,0.5,3,3.5,5.4,1.8,0.4,1.8,1.8,16.6,0.507,0.554,0.365,0.826,0.591,0.552,G,FR,4.8,128,95,2.8,1.9,0.255,7.2,6.2,13.4,25.9,1.7,11.5,6.4,33.9,3.5,1.6,11.6,26.2
Koa Peat,665,2025-26,Arizona,24,24,27.7,5.7,10.5,5.4,9.7,0.3,0.8,2.7,4.4,2,3.6,5.6,2.6,0.8,0.7,1.8,2.3,14.3,0.542,0.558,0.333,0.61,0.568,0.554,F,FR,3.2,119,97,1.6,1.6,0.195,4.2,3.8,8,19.9,8.6,12.5,10.8,16,1.5,2.6,12.5,24
Kwame Evans Jr.,659,2025-26,Oregon,22,22,30,4.1,8.9,3.1,5.4,1,3.5,3.5,4.6,2,5,7,2.2,1,1.2,2,2.1,12.8,0.467,0.58,0.289,0.765,0.579,0.523,F,JR,2.2,117,110,1.4,0.8,0.132,4.4,2.6,7.1,20.3,7.6,20,13.6,15.5,2.1,4.6,15,22
Kylan Boswell,572,2025-26,Illinois,18,18,31.8,4.7,9.9,3.4,5.6,1.3,4.3,3.5,4.3,1.4,2.8,4.2,3.4,0.7,0,1.3,2.3,14.3,0.475,0.604,0.308,0.818,0.596,0.542,G,SR,2.8,134,108,2.1,0.8,0.198,4.9,2.9,7.7,19.5,5.2,9.2,7.3,19.1,1.4,0,10,21
Labaron Philon,658,2025-26,Alabama,22,22,29.9,7.5,14.7,5.2,8.9,2.3,5.8,4.3,5.6,0.5,3,3.5,4.9,1.3,0.3,2.8,1.9,21.5,0.509,0.587,0.391,0.764,0.62,0.586,G,SO,3,123,114,2.5,0.6,0.185,8.4,2.2,10.6,25.3,1.7,9.5,5.8,32.2,2.3,0.8,13.8,30.6
Malachi Moreno,534,2025-26,Kentucky,24,18,22.3,3,5,3,4.9,0,0.1,2.5,3.7,2.5,3.8,6.3,1.8,0.7,1.7,1,2,8.4,0.592,0.602,0,0.674,0.622,0.592,C,FR,2.7,133,101,1.6,1.1,0.204,4.5,4.6,9.1,23.5,12.7,18.6,15.7,13.6,1.7,8.5,12.4,17.1
Matt Able,524,2025-26,NC State,25,0,21,2.8,6.9,1.6,3.2,1.3,3.7,1.2,1.5,0.6,2.8,3.5,1,1.2,0.2,1,1.9,8.2,0.41,0.488,0.344,0.816,0.537,0.503,G,FR,1.5,107,103,0.5,0.9,0.113,1.2,2.6,3.8,14.5,3.6,15.2,9.5,8.1,3.2,1.5,11.6,20.6
Meleek Thomas,671,2025-26,Arkansas,24,8,28,5.3,12.6,3,6.7,2.3,5.9,2.3,2.8,0.9,2.5,3.4,2.7,1.5,0.1,0.9,1.8,15.3,0.424,0.456,0.387,0.833,0.549,0.515,G,FR,2.8,123,108,1.9,0.9,0.168,5.2,2.6,7.9,20.3,3.7,9.8,6.9,15.9,3,0.5,5.9,25.3
Mikel Brown Jr.,457,2025-26,Louisville,16,15,28.6,4.8,12.3,2.4,4.8,2.4,7.5,5.3,6.4,0.1,3.3,3.3,5.1,0.9,0.1,2.8,1.5,17.3,0.393,0.513,0.317,0.816,0.563,0.49,G,FR,2.1,116,103,1.2,0.8,0.183,4.5,1.3,5.8,19.6,0.2,11.8,6.3,31.6,1.8,0.2,15.5,30.2
Milan Momcilovic,709,2025-26,Iowa State,24,24,29.5,6.1,11.3,2.3,3.8,3.9,7.5,2.3,2.5,0.2,3.1,3.3,1,0.9,0.3,0.9,1.6,18.4,0.54,0.587,0.517,0.9,0.734,0.711,F,JR,4.6,146,99,3,1.6,0.259,10,2.8,12.8,24.3,0.9,12.2,6.7,5.8,1.7,1,6.8,22.4
Miles Byrd,633,2025-26,San Diego State,23,23,27.5,3.6,8.7,2.3,4.5,1.3,4.1,2,2.6,0.4,3.7,4.2,2.7,2,1.1,2,1.9,10.6,0.417,0.51,0.316,0.797,0.535,0.492,G,JR,2.3,106,93,0.6,1.7,0.145,2.3,6.1,8.4,17,2,15.3,9,17.6,4.2,5.5,16.5,21.6
Morez Johnson Jr. ,542,2025-26,Michigan,23,23,23.6,5.2,7.8,5,7.2,0.2,0.6,3,3.7,2.3,5,7.3,1.2,0.7,1.1,1.3,2.3,13.6,0.67,0.693,0.385,0.8,0.713,0.684,F,SO,3.8,139,91,2.2,1.6,0.28,7.1,6.1,13.2,27.5,12.4,20.2,16.8,8.8,1.7,5.2,12.4,21.7
Motiejus Krivas,578,2025-26,Arizona,24,24,24.1,3.8,6.3,3.7,6,0.1,0.4,3.4,4.3,3,5.6,8.6,1.1,0.7,2,1.5,2.6,11.1,0.599,0.615,0.333,0.796,0.664,0.609,C,JR,3.7,132,89,1.9,1.8,0.254,5.2,5.8,11.1,25,15,22.5,19.1,7.3,1.5,8.2,15.6,19.1
Nate Ament,689,2025-26,Tennessee,23,23,30,5.3,12.4,3.9,8.2,1.4,4.2,5.6,7.3,1.7,4.8,6.5,2.5,1.1,0.3,2.6,2.1,17.6,0.428,0.476,0.333,0.768,0.555,0.484,F,FR,3.3,118,101,1.9,1.4,0.193,5.1,3.2,8.3,21,6.4,17.2,12,16,2.2,1.5,13.9,29.3
Neoklis Avdalas,733,2025-26,Virginia Tech,23,23,31.9,4.3,11.1,2.8,6,1.5,5.1,2.5,3.7,0.1,3,3.1,4.8,0.7,0.6,2.4,1.2,12.6,0.388,0.471,0.291,0.674,0.49,0.455,G,FR,1.4,103,110,0.5,0.9,0.079,1.7,1.2,2.9,13.2,0.5,10.7,5.6,28.2,1.2,2.1,15.9,24
Nikolas Khamenia,438,2025-26,Duke,24,5,18.3,1.8,4,0.9,1.3,0.9,2.8,1,1.4,0.9,2,2.9,1.2,0.6,0,1,1.6,5.3,0.438,0.7,0.318,0.697,0.573,0.547,G,FR,1.6,116,98,0.6,1,0.148,1.2,3.8,5,11.8,5.9,12.1,9.2,10.1,1.9,0,17.1,15.4
Nolan Winter,749,2025-26,Wisconsin,24,24,31.2,5.1,8.9,4,5.7,1,3.2,2.7,3.5,2.4,6.5,8.9,1.7,0.5,1.3,0.9,2.2,13.9,0.573,0.708,0.329,0.762,0.658,0.631,F,JR,3.8,138,106,2.6,1.2,0.202,6.6,2.6,9.2,23.2,8.8,23.9,16.4,10.5,1,4.5,8,18.3
Otega Oweh,734,2025-26,Kentucky,24,24,30.6,5.9,12.2,4.7,8.8,1.2,3.4,4.2,5.9,1,3.4,4.4,2.5,1.8,0.3,1.8,2.3,17.1,0.483,0.536,0.346,0.716,0.572,0.531,G,SR,3.2,119,104,1.9,1.3,0.175,4.7,3.7,8.4,21.6,3.8,12,8,16.1,3.3,1.1,10.5,26.9
Patrick Ngongba II,519,2025-26,Duke,23,22,22.6,3.7,6.1,3.4,5,0.3,1.1,2.9,4.3,2.3,3.9,6.2,2,0.7,1.3,1.4,2.8,10.7,0.614,0.687,0.28,0.684,0.659,0.639,C,SO,3.4,133,92,1.9,1.5,0.263,5.5,5.8,11.3,25.4,12.9,18.5,15.9,15.5,1.8,7,14.6,21.1
Paul McNeil Jr.,691,2025-26,NC State,25,24,27.6,4,9.3,0.9,2.1,3.1,7.2,2.6,3.2,0.7,2.9,3.6,0.9,0.7,0.4,0.4,1.6,13.6,0.427,0.415,0.43,0.81,0.629,0.593,G,SO,3,133,109,2.1,0.9,0.173,6.7,0.9,7.6,18.7,2.9,11.7,7.4,5.8,1.5,1.7,3.9,20.3
Richie Saunders,783,2025-26,Brigham Young,24,24,32.6,6.2,12.7,3.5,5.6,2.7,7.1,3.7,4.5,2,4,6,2.2,1.8,0.3,1.7,2.3,18.8,0.489,0.63,0.376,0.817,0.632,0.593,G,SR,4.3,132,105,3,1.3,0.218,7.8,3,10.7,24.5,6.7,13.3,10.1,11.6,3.1,0.9,10.3,24.3
Ryan Conwell,688,2025-26,Louisville,23,23,29.9,5.8,14.2,2.3,4.5,3.5,9.7,3.7,4.5,0.7,4.3,5,2.7,1.3,0.2,1.9,2.9,18.9,0.41,0.51,0.363,0.835,0.579,0.534,G,SR,3.5,120,100,2,1.5,0.202,6.5,3,9.5,20.8,2.6,14.9,9,16.8,2.3,0.8,10.3,29
Thomas Haugh,778,2025-26,Florida,23,23,33.8,5.9,12.4,4,7,1.9,5.4,4.1,5.5,2.4,4,6.4,2,1,0.9,1.7,2.2,17.8,0.476,0.571,0.352,0.74,0.592,0.552,F,JR,4,129,101,2.5,1.6,0.206,6.9,4.1,11,20.9,7.5,12.2,9.8,9.9,1.6,2.7,10.1,22.3
Tomislav Ivisic,555,2025-26,Illinois,22,21,25.2,3.9,7.9,2.2,3.2,1.7,4.7,0.9,1.4,1.6,4.1,5.7,1.6,0.3,0.6,1.5,1.9,10.4,0.494,0.7,0.356,0.633,0.606,0.601,C,SO,2.3,123,104,1.3,0.9,0.163,4.7,3,7.7,17.9,7.5,17.2,12.7,11.4,0.8,2.5,14.5,19.9
Tounde Yessoufou,761,2025-26,Baylor,24,24,31.7,6.9,14.1,5.1,8.8,1.8,5.3,3,3.8,2.4,3.4,5.8,1.7,2,0.6,2.1,2.3,18.5,0.487,0.583,0.328,0.783,0.58,0.549,G,FR,3.3,120,106,2.1,1.2,0.174,5.1,1.8,6.9,23,8.9,11.4,10.2,10.3,3.6,1.8,11.6,27.3
Trey Kaufman-Renn,602,2025-26,Purdue,22,22,27.4,5.4,9.5,5.3,9,0.1,0.5,1.6,2.6,3,5.8,8.8,2.8,0.5,0.2,1.6,2.2,12.4,0.565,0.583,0.2,0.614,0.578,0.569,F,SR,2.9,123,103,1.8,1.1,0.193,5.2,3,8.2,22.2,14.2,24.6,19.6,18.3,1.1,0.8,12.9,23.1
Tucker DeVries,835,2025-26,Indiana,25,25,33.4,4.5,11.4,1.8,3.4,2.6,8,2.2,2.6,0.5,5,5.5,3.3,1.1,0.6,1.5,2.6,13.8,0.393,0.535,0.332,0.848,0.547,0.509,G,SR,2.9,114,104,1.5,1.5,0.141,3.8,3.1,6.9,16,2,16.9,9.9,18.5,1.9,1.8,10.7,22.1
Yaxel Lendeborg,645,2025-26,Michigan,23,22,28,4.7,9.4,3.5,5.2,1.3,4.2,3.6,4.2,2.2,5.3,7.5,3.2,1.3,1.4,1.2,1.6,14.3,0.505,0.672,0.299,0.845,0.628,0.572,F,SR,4.6,139,90,2.7,1.9,0.286,9.5,7.6,17.1,26.5,10,18.1,14.6,18.5,2.5,5.4,9.3,21
Zuby Ejiofor,719,2025-26,St. John's (NY),24,24,30,5.1,9.5,4.7,8.1,0.5,1.4,5.6,8,3.6,4,7.5,3.5,1.3,2,2.4,2.6,16.3,0.539,0.574,0.333,0.702,0.613,0.564,F,SR,4.2,127,99,2.6,1.6,0.233,8,5.2,13.2,27,13.2,14.6,13.9,21.8,2.3,6.6,15.2,24.4
Zvonimir Ivisic,447,2025-26,Illinois,25,4,17.9,2.6,5,1.6,1.9,1,3.1,1,1.5,1.4,4,5.4,0.4,0.3,2.3,0.7,1.3,7.2,0.524,0.83,0.338,0.632,0.634,0.629,F,JR,2.4,131,94,1.2,1.2,0.213,5.9,6.5,12.4,24.5,9.1,23.5,16.8,3.6,1.1,14,10.7,17.9
Killyan Toure,639,2025-26,Iowa State,24,24,26.6,3.6,7.4,2.8,5.1,0.8,2.3,1.7,2.3,1.3,2.5,3.8,2.5,1.8,0.3,1.9,2.3,9.6,0.486,0.557,0.327,0.714,0.565,0.537,G,FR,2.6,113,94,0.9,1.7,0.164,1,4.9,5.8,15.7,6,10.8,8.5,14.9,3.9,1.2,18.4,19.2
Bryon Tiller,633,2025-26,Kansas,24,21,26.4,3.4,7.1,2.8,5.2,0.6,1.9,1.7,2.5,1.3,4.8,6,1,0.4,1.4,1.7,2.3,9,0.476,0.54,0.304,0.672,0.545,0.518,F,FR,1.8,103,98,0.4,1.4,0.115,0.2,4.2,4.4,14,6,17.3,12.4,6.8,0.8,5.8,16.7,19.5